time,elastoGap1.v_rel_ref,elastoGap1.v_rel_sim,elastoGap1.v_rel_relerr,elastoGap2.s_rel_ref,elastoGap2.s_rel_sim,elastoGap2.s_rel_relerr
0,0,0,0,0,0,0
0.005,-0.0747163386,0,0.0218013,0.0001870281809,0,5.56335e-05
0.01,-0.148855792,0,0.0434342,0.000746201831,0,0.000221966
0.015,-0.2224042054,0,0.0648947,0.001674601015,0,0.000498128
0.02,-0.2953476773,0,0.0861787,0.002969235697,0,0.000883231
0.025,-0.3676725607,0,0.107282,0.004627047135,0,0.00137636
0.03,-0.4393654642,0,0.128201,0.006644908645,0,0.0019766
0.035,-0.5104132539,0,0.148932,0.009019627344,0,0.00268298
0.04,-0.5808030551,0,0.169471,0.01174794534,0,0.00349455
0.045,-0.6505222529,0,0.189814,0.01482654101,0,0.00441031
0.05,-0.7195584938,0,0.209958,0.01825203036,0,0.00542926
0.055,-0.7878996866,0,0.229899,0.02202096827,0,0.00655037
0.06,-0.8555340036,0,0.249634,0.02612984976,0,0.0077726
0.065,-0.9224498816,0,0.269159,0.03057511149,0,0.00909489
0.07,-0.9886360225,0,0.288471,0.03535313272,0,0.0105162
0.075,-1.054081395,0,0.307568,0.0404602372,0,0.0120353
0.08,-1.118775233,0,0.326444,0.04589269413,0,0.0136513
0.085,-1.182707041,0,0.345099,0.05164671944,0,0.0153629
0.09,-1.24586659,0,0.363528,0.05771847738,0,0.017169
0.095,-1.308243919,0,0.381729,0.06410408165,0,0.0190684
0.1,-1.369829337,0,0.399699,0.0707995968,0,0.0210601
0.105,-1.430613423,0,0.417435,0.07780103959,0,0.0231427
0.11,-1.490587026,0,0.434934,0.08510438035,0,0.0253152
0.115,-1.549741264,0,0.452195,0.09270554433,0,0.0275762
0.12,-1.608067525,0,0.469214,0.1006004131,0,0.0299247
0.125,-1.665557469,0,0.485989,0.108784826,0,0.0323592
0.13,-1.722203025,0,0.502517,0.1172545811,0,0.0348786
0.135,-1.777996395,0,0.518797,0.1260054371,0,0.0374817
0.14,-1.832930049,0,0.534826,0.1350331135,0,0.040167
0.145,-1.886996731,0,0.550602,0.1443332937,0,0.0429335
0.15,-1.940189455,0,0.566123,0.1539016252,0,0.0457797
0.155,-1.992501507,0,0.581387,0.1637337208,0,0.0487043
0.16,-2.043926431,0,0.596392,0.1738251614,0,0.0517061
0.165,-2.094458044,0,0.611136,0.184171496,0,0.0547838
0.17,-2.144090443,0,0.625618,0.194768243,0,0.0579359
0.175,-2.192817988,0,0.639837,0.2056108922,0,0.0611611
0.18,-2.240635304,0,0.653789,0.2166949059,0,0.0644582
0.185,-2.287537271,0,0.667474,0.2280157193,0,0.0678257
0.19,-2.333519056,0,0.680891,0.2395687441,0,0.0712623
0.195,-2.378576085,0,0.694038,0.2513493677,0,0.0747665
0.2,-2.422704053,0,0.706914,0.2633529557,0,0.0783371
0.205,-2.465898893,0,0.719518,0.2755748519,0,0.0819727
0.21,-2.508156824,0,0.731848,0.2880103814,0,0.0856717
0.215,-2.549474328,0,0.743904,0.3006548508,0,0.089433
0.22,-2.589848146,0,0.755685,0.3135035502,0,0.093255
0.225,-2.629275268,0,0.767189,0.3265517531,0,0.0971363
0.23,-2.667752937,0,0.778417,0.3397947184,0,0.101076
0.235,-2.705278675,0,0.789366,0.3532276931,0,0.105071
0.24,-2.741850251,0,0.800037,0.3668459122,0,0.109122
0.245,-2.77746569,0,0.810429,0.3806446003,0,0.113227
0.25,-2.812123245,0,0.820542,0.3946189704,0,0.117384
0.255,-2.845821455,0,0.830375,0.4087642303,0,0.121591
0.26,-2.878559096,0,0.839927,0.4230755804,0,0.125848
0.265,-2.910335197,0,0.849199,0.4375482159,0,0.130153
0.27,-2.941149021,0,0.85819,0.4521773261,0,0.134505
0.275,-2.971000077,0,0.8669,0.4669580978,0,0.138902
0.28,-2.999888132,0,0.875329,0.4818857173,0,0.143342
0.285,-3.02781319,0,0.883478,0.4969553701,0,0.147825
0.29,-3.054775495,0,0.891345,0.5121622419,0,0.152348
0.295,-3.080775507,0,0.898931,0.5275015176,0,0.156911
0.3,-3.105813951,0,0.906237,0.542968389,0,0.161512
0.305,-3.12989178,0,0.913263,0.558558051,0,0.166149
0.31,-3.153010177,0,0.920008,0.574265704,0,0.170821
0.315,-3.175170544,0,0.926475,0.5900865524,0,0.175528
0.32,-3.196374518,0,0.932662,0.60601581,0,0.180266
0.325,-3.216623972,0,0.93857,0.6220487006,0,0.185035
0.33,-3.235920995,0,0.944201,0.6381804573,0,0.189834
0.335,-3.254267899,0,0.949554,0.6544063233,0,0.19466
0.34,-3.271667201,0,0.954631,0.6707215519,0,0.199513
0.345,-3.288121657,0,0.959432,0.6871214137,0,0.204392
0.35,-3.303634231,0,0.963959,0.7036011924,0,0.209294
0.355,-3.318208099,0,0.968211,0.7201561873,0,0.214218
0.36,-3.331846635,0,0.972191,0.7367817097,0,0.219164
0.365,-3.344553434,0,0.975898,0.7534730935,0,0.224129
0.37,-3.356332296,0,0.979335,0.7702256902,0,0.229112
0.375,-3.367187226,0,0.982503,0.7870348708,0,0.234112
0.38,-3.377122418,0,0.985402,0.803896025,0,0.239127
0.385,-3.386142265,0,0.988033,0.820804563,0,0.244157
0.39,-3.394251365,0,0.9904,0.8377559216,0,0.249199
0.395,-3.401454507,0,0.992501,0.8547455596,0,0.254253
0.4,-3.407756667,0,0.99434,0.8717689604,0,0.259317
0.405,-3.413162997,0,0.995918,0.8888216274,0,0.264389
0.41,-3.417678849,0,0.997235,0.9058990976,0,0.269469
0.415,-3.421309756,0,0.998295,0.9229969328,0,0.274555
0.42,-3.424061426,0,0.999098,0.9401107236,0,0.279646
0.425,-3.425939743,0,0.999646,0.9572360879,0,0.28474
0.43,-3.426950767,0,0.999941,0.9743686749,0,0.289836
0.435,-3.427147933,0,0.999998,0.9915041983,0,0.294933
0.44,-3.427152068,0,1,1.008639925,0,0.300031
0.445,-3.427153397,0,1,1.025775692,0,0.305128
0.45,-3.427152366,0,1,1.042911458,0,0.310225
0.455,-3.427151717,0,1,1.060047219,0,0.315322
0.46,-3.427150905,0,0.999999,1.077182976,0,0.32042
0.465,-3.427150749,0,0.999999,1.094318731,0,0.325517
0.47,-3.427150711,0,0.999999,1.111454484,0,0.330614
0.475,-3.427150728,0,0.999999,1.128590238,0,0.335711
0.48,-3.427150756,0,0.999999,1.145725991,0,0.340808
0.485,-3.427150752,0,0.999999,1.162861745,0,0.345906
0.49,-3.427150708,0,0.999999,1.179997499,0,0.351003
0.495,-3.427150631,0,0.999999,1.197133253,0,0.3561
0.5,-3.427150546,0,0.999999,1.214269007,0,0.361197
0.505,-3.427150501,0,0.999999,1.23140476,0,0.366294
0.51,-3.427150444,0,0.999999,1.248540513,0,0.371392
0.515,-3.427150409,0,0.999999,1.265676266,0,0.376489
0.52,-3.427150393,0,0.999999,1.282812018,0,0.381586
0.525,-3.427150387,0,0.999999,1.29994777,0,0.386683
0.53,-3.427150388,0,0.999999,1.317083521,0,0.39178
0.535,-3.427150397,0,0.999999,1.334219273,0,0.396878
0.54,-3.427150403,0,0.999999,1.351355025,0,0.401975
0.545,-3.42715041,0,0.999999,1.368490777,0,0.407072
0.55,-3.427150414,0,0.999999,1.385626529,0,0.412169
0.555,-3.427150414,0,0.999999,1.402762281,0,0.417267
0.56,-3.427150405,0,0.999999,1.419898033,0,0.422364
0.565,-3.427150386,0,0.999999,1.437033786,0,0.427461
0.57,-3.427150353,0,0.999999,1.454169538,0,0.432558
0.575,-3.427150302,0,0.999999,1.471305291,0,0.437655
0.58,-3.427150245,0,0.999999,1.488441043,0,0.442753
0.5833727603,-3.427150207,0,0.999999,1.5,0,0.446191
0.5833727603,-3.427150207,0,0.999999,1.5,0,0.446191
0.585,-3.427150207,0,0.999999,1.505576795,0,0.44785
0.59,-3.427150207,0,0.999999,1.522712546,0,0.452947
0.595,-3.427150207,0,0.999999,1.539848297,0,0.458044
0.6,-3.427150207,0,0.999999,1.556984048,0,0.463141
0.605,-3.427150207,0,0.999999,1.574119799,0,0.468239
0.61,-3.427150207,0,0.999999,1.59125555,0,0.473336
0.615,-3.427150207,0,0.999999,1.608391301,0,0.478433
0.62,-3.427150207,0,0.999999,1.625527052,0,0.48353
0.625,-3.427150207,0,0.999999,1.642662803,0,0.488627
0.63,-3.427150207,0,0.999999,1.659798554,0,0.493725
0.635,-3.427150207,0,0.999999,1.676934305,0,0.498822
0.64,-3.427150207,0,0.999999,1.694070056,0,0.503919
0.645,-3.427150207,0,0.999999,1.711205807,0,0.509016
0.65,-3.427150207,0,0.999999,1.728341558,0,0.514114
0.655,-3.427150207,0,0.999999,1.745477309,0,0.519211
0.66,-3.427150207,0,0.999999,1.76261306,0,0.524308
0.665,-3.427150207,0,0.999999,1.779748811,0,0.529405
0.67,-3.427150207,0,0.999999,1.796884562,0,0.534502
0.675,-3.427150207,0,0.999999,1.814020313,0,0.5396
0.68,-3.427150207,0,0.999999,1.831156065,0,0.544697
0.685,-3.427150207,0,0.999999,1.848291816,0,0.549794
0.69,-3.427150207,0,0.999999,1.865427567,0,0.554891
0.695,-3.427150207,0,0.999999,1.882563318,0,0.559988
0.7,-3.427150207,0,0.999999,1.899699069,0,0.565086
0.705,-3.427150207,0,0.999999,1.91683482,0,0.570183
0.71,-3.427150207,0,0.999999,1.933970571,0,0.57528
0.715,-3.427150207,0,0.999999,1.951106322,0,0.580377
0.72,-3.427150207,0,0.999999,1.968242073,0,0.585474
0.725,-3.427150207,0,0.999999,1.985377824,0,0.590572
0.73,-3.427150207,0,0.999999,2.002513575,0,0.595669
0.735,-3.427150207,0,0.999999,2.019649326,0,0.600766
0.74,-3.427150207,0,0.999999,2.036785077,0,0.605863
0.745,-3.427150207,0,0.999999,2.053920828,0,0.610961
0.75,-3.427150207,0,0.999999,2.071056579,0,0.616058
0.755,-3.427150207,0,0.999999,2.08819233,0,0.621155
0.76,-3.427150207,0,0.999999,2.105328081,0,0.626252
0.765,-3.427150207,0,0.999999,2.122463832,0,0.631349
0.77,-3.427150207,0,0.999999,2.139599583,0,0.636447
0.775,-3.427150207,0,0.999999,2.156735334,0,0.641544
0.78,-3.427150207,0,0.999999,2.173871085,0,0.646641
0.785,-3.427150207,0,0.999999,2.191006836,0,0.651738
0.79,-3.427150207,0,0.999999,2.208142587,0,0.656835
0.795,-3.427150207,0,0.999999,2.225278338,0,0.661933
0.8,-3.427150207,0,0.999999,2.242414089,0,0.66703
0.805,-3.427150207,0,0.999999,2.25954984,0,0.672127
0.81,-3.427150207,0,0.999999,2.276685591,0,0.677224
0.815,-3.427150207,0,0.999999,2.293821342,0,0.682321
0.82,-3.427150207,0,0.999999,2.310957093,0,0.687419
0.825,-3.427150207,0,0.999999,2.328092845,0,0.692516
0.83,-3.427150207,0,0.999999,2.345228596,0,0.697613
0.835,-3.427150207,0,0.999999,2.362364347,0,0.70271
0.84,-3.427150207,0,0.999999,2.379500098,0,0.707808
0.845,-3.427150207,0,0.999999,2.396635849,0,0.712905
0.85,-3.427150207,0,0.999999,2.4137716,0,0.718002
0.855,-3.427150207,0,0.999999,2.430907351,0,0.723099
0.86,-3.427150207,0,0.999999,2.448043102,0,0.728196
0.865,-3.427150207,0,0.999999,2.465178853,0,0.733294
0.87,-3.427150207,0,0.999999,2.482314604,0,0.738391
0.875,-3.427150207,0,0.999999,2.499450355,0,0.743488
0.8751603796,-3.427150207,0,0.999999,2.5,0,0.743652
0.8751603796,-3.427150207,0,0.999999,2.5,0,0.743652
0.88,-3.426347556,0,0.999765,2.516584561,0,0.748585
0.885,-3.423832954,0,0.999031,2.533709322,0,0.753679
0.89,-3.419606905,0,0.997798,2.550816534,0,0.758767
0.895,-3.413671378,0,0.996066,2.567898735,0,0.763849
0.9,-3.406029504,0,0.993836,2.584946827,0,0.76892
0.905,-3.396685008,0,0.99111,2.601952613,0,0.773978
0.91,-3.385642444,0,0.987888,2.61890816,0,0.779022
0.915,-3.372907122,0,0.984172,2.635805071,0,0.784048
0.92,-3.358485238,0,0.979963,2.652634196,0,0.789054
0.925,-3.342384557,0,0.975266,2.669387177,0,0.794038
0.93,-3.324612317,0,0.97008,2.686055446,0,0.798996
0.935,-3.305178052,0,0.964409,2.702630712,0,0.803926
0.94,-3.284091152,0,0.958256,2.719104636,0,0.808827
0.945,-3.261362038,0,0.951624,2.735468988,0,0.813694
0.95,-3.237002397,0,0.944516,2.751715594,0,0.818527
0.955,-3.21102411,0,0.936936,2.767836302,0,0.823322
0.96,-3.183440045,0,0.928888,2.78382303,0,0.828078
0.965,-3.154264165,0,0.920374,2.799667849,0,0.832791
0.97,-3.123511197,0,0.911401,2.815362881,0,0.83746
0.975,-3.091196607,0,0.901972,2.830900282,0,0.842081
0.98,-3.057336398,0,0.892092,2.846272269,0,0.846654
0.985,-3.021947522,0,0.881766,2.861471145,0,0.851175
0.99,-2.985047824,0,0.870999,2.876489287,0,0.855642
0.995,-2.946655624,0,0.859797,2.891319228,0,0.860054
1,-2.906790142,0,0.848165,2.905953536,0,0.864407
1.005,-2.865471408,0,0.836108,2.92038484,0,0.868699
1.01,-2.822867781,0,0.823677,2.934606047,0,0.87293
1.015,-2.779781336,0,0.811105,2.948612823,0,0.877096
1.02,-2.736320247,0,0.798424,2.96240323,0,0.881198
1.025,-2.692501108,0,0.785638,2.975975435,0,0.885235
1.03,-2.648338941,0,0.772752,2.989327689,0,0.889207
1.035,-2.603846974,0,0.75977,3.002458323,0,0.893113
1.04,-2.559039161,0,0.746695,3.015365718,0,0.896953
1.045,-2.513928978,0,0.733533,3.028048312,0,0.900725
1.05,-2.468529778,0,0.720286,3.04050462,0,0.90443
1.055,-2.422855005,0,0.706958,3.052733247,0,0.908068
1.06,-2.376918075,0,0.693555,3.064732841,0,0.911637
1.065,-2.330732385,0,0.680078,3.076502104,0,0.915138
1.07,-2.284311274,0,0.666533,3.088039844,0,0.91857
1.075,-2.237668073,0,0.652923,3.099344898,0,0.921933
1.08,-2.19081606,0,0.639252,3.110416189,0,0.925226
1.085,-2.143768464,0,0.625525,3.121252726,0,0.92845
1.09,-2.096538499,0,0.611743,3.131853567,0,0.931603
1.095,-2.04913927,0,0.597913,3.142217828,0,0.934686
1.1,-2.001583839,0,0.584037,3.15234469,0,0.937698
1.105,-1.953885254,0,0.570119,3.162233413,0,0.94064
1.11,-1.906056429,0,0.556163,3.171883311,0,0.94351
1.115,-1.858110259,0,0.542173,3.181293767,0,0.94631
1.12,-1.810059585,0,0.528152,3.19046423,0,0.949037
1.125,-1.761917113,0,0.514105,3.199394202,0,0.951694
1.13,-1.713695541,0,0.500035,3.208083259,0,0.954278
1.135,-1.665407484,0,0.485945,3.21653104,0,0.956791
1.14,-1.617065425,0,0.471839,3.224737237,0,0.959232
1.145,-1.568681836,0,0.457722,3.232701616,0,0.961601
1.15,-1.520269087,0,0.443595,3.240424001,0,0.963898
1.155,-1.471839426,0,0.429464,3.247904271,0,0.966124
1.16,-1.423405054,0,0.415332,3.255142374,0,0.968277
1.165,-1.374978073,0,0.401201,3.262138318,0,0.970358
1.17,-1.326570491,0,0.387076,3.268892168,0,0.972367
1.175,-1.27819422,0,0.372961,3.275404053,0,0.974304
1.18,-1.229861076,0,0.358858,3.281674158,0,0.976169
1.185,-1.181582771,0,0.344771,3.287702727,0,0.977962
1.19,-1.133370921,0,0.330703,3.293490064,0,0.979684
1.195,-1.085237035,0,0.316658,3.299036532,0,0.981333
1.2,-1.037192514,0,0.30264,3.304342551,0,0.982912
1.205,-0.9892486491,0,0.28865,3.3094086,0,0.984419
1.21,-0.9414166588,0,0.274693,3.314235199,0,0.985854
1.215,-0.8937076113,0,0.260773,3.318822938,0,0.987219
1.22,-0.8461324627,0,0.246891,3.323172463,0,0.988513
1.225,-0.7987020574,0,0.233051,3.327284471,0,0.989736
1.23,-0.751427121,0,0.219257,3.331159714,0,0.990889
1.235,-0.704318262,0,0.205511,3.334798997,0,0.991971
1.24,-0.6573860114,0,0.191817,3.338203168,0,0.992984
1.245,-0.6106407113,0,0.178177,3.341373141,0,0.993927
1.25,-0.5640926029,0,0.164595,3.344309877,0,0.9948
1.255,-0.5177517998,0,0.151073,3.347014388,0,0.995605
1.26,-0.4716282854,0,0.137615,3.349487739,0,0.996341
1.265,-0.4257319364,0,0.124223,3.351731036,0,0.997008
1.27,-0.3800725178,0,0.1109,3.353745436,0,0.997607
1.275,-0.3346596029,0,0.0976494,3.355532152,0,0.998139
1.28,-0.2895026562,0,0.0844732,3.357092439,0,0.998603
1.285,-0.2446110057,0,0.0713744,3.358427604,0,0.999
1.29,-0.1999938413,0,0.0583557,3.359538995,0,0.999331
1.295,-0.1556602566,0,0.0454197,3.360428004,0,0.999595
1.3,-0.1116191771,0,0.0325691,3.361096069,0,0.999794
1.305,-0.06787936956,0,0.0198063,3.361544679,0,0.999927
1.31,-0.02444947271,0,0.00713405,3.361775362,0,0.999996
1.315,0.01866201853,0,0.00544534,3.361789689,0,1
1.32,0.06144675469,0,0.0179294,3.361589277,0,0.99994
1.325,0.1038964679,0,0.0303157,3.361175769,0,0.999817
1.33,0.1460031189,0,0.0426019,3.360550866,0,0.999631
1.335,0.1877587884,0,0.0547856,3.359716304,0,0.999383
1.34,0.2291557043,0,0.0668647,3.358673859,0,0.999073
1.345,0.2701862443,0,0.0788369,3.357425344,0,0.998702
1.35,0.3108429231,0,0.0907,3.35597261,0,0.99827
1.355,0.3511183659,0,0.102452,3.354317539,0,0.997777
1.36,0.3910054214,0,0.11409,3.352462058,0,0.997225
1.365,0.4304970614,0,0.125614,3.350408128,0,0.996614
1.37,0.4695864108,0,0.137019,3.348157744,0,0.995945
1.375,0.5082667489,0,0.148306,3.345712936,0,0.995218
1.38,0.5465314747,0,0.159471,3.343075762,0,0.994433
1.385,0.5843741458,0,0.170513,3.340248315,0,0.993592
1.39,0.6217885141,0,0.18143,3.337232723,0,0.992695
1.395,0.6587684662,0,0.19222,3.334031143,0,0.991743
1.4,0.6953080446,0,0.202882,3.330645763,0,0.990736
1.405,0.7314014488,0,0.213414,3.3270788,0,0.989675
1.41,0.7670429775,0,0.223813,3.323332496,0,0.98856
1.415,0.8022271449,0,0.23408,3.319409125,0,0.987393
1.42,0.836948617,0,0.244211,3.315310988,0,0.986174
1.425,0.8712022081,0,0.254206,3.311040412,0,0.984904
1.43,0.9049828899,0,0.264063,3.306599749,0,0.983583
1.435,0.9382857866,0,0.27378,3.301991376,0,0.982212
1.44,0.9711061227,0,0.283356,3.297217692,0,0.980792
1.445,1.003439363,0,0.292791,3.292281122,0,0.979324
1.45,1.035281097,0,0.302082,3.287184113,0,0.977808
1.455,1.066627071,0,0.311228,3.281929133,0,0.976245
1.46,1.097473192,0,0.320229,3.276518672,0,0.974635
1.465,1.127815498,0,0.329082,3.270955239,0,0.97298
1.47,1.15765017,0,0.337788,3.265241361,0,0.971281
1.475,1.186973594,0,0.346344,3.259379587,0,0.969537
1.48,1.215782292,0,0.35475,3.253372481,0,0.96775
1.485,1.244072939,0,0.363005,3.247222626,0,0.965921
1.49,1.271842368,0,0.371108,3.240932619,0,0.96405
1.495,1.299087528,0,0.379057,3.234505075,0,0.962138
1.5,1.325805548,0,0.386853,3.227942623,0,0.960186
1.505,1.351993729,0,0.394495,3.221247903,0,0.958194
1.51,1.37764951,0,0.401981,3.214423573,0,0.956164
1.515,1.402770487,0,0.409311,3.2074723,0,0.954097
1.52,1.427354407,0,0.416484,3.200396764,0,0.951992
1.525,1.45139911,0,0.4235,3.193199656,0,0.949851
1.53,1.474902665,0,0.430358,3.185883678,0,0.947675
1.535,1.497863266,0,0.437058,3.178451538,0,0.945464
1.54,1.520279255,0,0.443598,3.170905956,0,0.94322
1.545,1.542149125,0,0.44998,3.163249658,0,0.940942
1.55,1.563471507,0,0.456201,3.15548538,0,0.938633
1.555,1.584245145,0,0.462263,3.147615862,0,0.936292
1.56,1.604468993,0,0.468164,3.13964385,0,0.93392
1.565,1.624142123,0,0.473904,3.131572096,0,0.931519
1.57,1.643263756,0,0.479484,3.123403354,0,0.929089
1.575,1.661833257,0,0.484902,3.115140383,0,0.926632
1.58,1.679850107,0,0.490159,3.106785946,0,0.924146
1.585,1.697313938,0,0.495255,3.09834281,0,0.921635
1.59,1.714224548,0,0.500189,3.089813737,0,0.919098
1.595,1.730581862,0,0.504962,3.081201495,0,0.916536
1.6,1.746385945,0,0.509573,3.072508848,0,0.91395
1.605,1.761637002,0,0.514023,3.063738562,0,0.911342
1.61,1.776335334,0,0.518312,3.054893405,0,0.90871
1.615,1.790481421,0,0.52244,3.045976139,0,0.906058
1.62,1.804075874,0,0.526407,3.036989521,0,0.903385
1.625,1.817119432,0,0.530212,3.027936308,0,0.900692
1.63,1.829612968,0,0.533858,3.018819252,0,0.89798
1.635,1.841557481,0,0.537343,3.009641099,0,0.89525
1.64,1.852954066,0,0.540669,3.000404598,0,0.892502
1.645,1.863804,0,0.543834,2.991112482,0,0.889738
1.65,1.874108667,0,0.546841,2.98176748,0,0.886958
